month,temp_f
January,18.73129032258063
February,24.394999999999985
March,37.618225806451605
April,44.616749999999975
May,61.22798387096768
June,68.24124999999998
July,73.02209677419353
August,72.10274193548379
September,61.6719999999999
October,51.71895161290322
November,33.676500000000004
December,26.04862903225806
